Date,Production,Source,Plant Name,Plant ID,Current Status,Year,Month,Month_Name,Year_Month,Day
2025-04-04,58.3,Visser,Doug Visser,2318D5,Offline,2025,4,April,2025-04,4
2025-05-04,0.1,Visser,Doug Visser,2318D5,Offline,2025,5,May,2025-05,4
2025-06-04,73.2,Visser,Doug Visser,2318D5,Offline,2025,6,June,2025-06,4
2025-07-04,43.8,Visser,Doug Visser,2318D5,Offline,2025,7,July,2025-07,4
2025-10-04,33.1,Visser,Doug Visser,2318D5,Offline,2025,10,October,2025-10,4
2025-11-04,37.9,Visser,Doug Visser,2318D5,Offline,2025,11,November,2025-11,4
2025-12-04,0.9,Visser,Doug Visser,2318D5,Offline,2025,12,December,2025-12,4
2026-02-04,19.5,Visser,Doug Visser,23'18D5,Offline,2026,2,February,2026-02,4
2025-01-05,0.2,Visser,Doug Visser,2318D5,Offline,2025,1,January,2025-01,5
2025-02-05,0.2,Visser,Doug Visser,2318D5,Offline,2025,2,February,2025-02,5
2025-03-05,47.9,Visser,Doug Visser,2318D5,Offline,2025,3,March,2025-03,5
2025-04-05,56.8,Visser,Doug Visser,2318D5,Offline,2025,4,April,2025-04,5
2025-05-05,0.0,Visser,Doug Visser,2318D5,Offline,2025,5,May,2025-05,5
2025-06-05,86.3,Visser,Doug Visser,2318D5,Offline,2025,6,June,2025-06,5
2025-07-05,86.1,Visser,Doug Visser,2318D5,Offline,2025,7,July,2025-07,5
2025-10-05,57.8,Visser,Doug Visser,2318D5,Offline,2025,10,October,2025-10,5
2025-11-05,19.5,Visser,Doug Visser,2318D5,Offline,2025,11,November,2025-11,5
2025-12-05,0.1,Visser,Doug Visser,2318D5,Offline,2025,12,December,2025-12,5
2026-02-05,39.5,Visser,Doug Visser,23'18D5,Offline,2026,2,February,2026-02,5
2025-01-06,0.1,Visser,Doug Visser,2318D5,Offline,2025,1,January,2025-01,6
2025-02-06,0.1,Visser,Doug Visser,2318D5,Offline,2025,2,February,2025-02,6
2025-03-06,49.3,Visser,Doug Visser,2318D5,Offline,2025,3,March,2025-03,6
2025-04-06,56.5,Visser,Doug Visser,2318D5,Offline,2025,4,April,2025-04,6
2025-05-06,0.0,Visser,Doug Visser,2318D5,Offline,2025,5,May,2025-05,6
2025-06-06,41.8,Visser,Doug Visser,2318D5,Offline,2025,6,June,2025-06,6
2025-07-06,32.6,Visser,Doug Visser,2318D5,Offline,2025,7,July,2025-07,6
2025-10-06,24.3,Visser,Doug Visser,2318D5,Offline,2025,10,October,2025-10,6
2025-11-06,1.1,Visser,Doug Visser,2318D5,Offline,2025,11,November,2025-11,6
2025-12-06,0.4,Visser,Doug Visser,2318D5,Offline,2025,12,December,2025-12,6
2026-02-06,26.8,Visser,Doug Visser,23'18D5,Offline,2026,2,February,2026-02,6
2025-01-07,0.2,Visser,Doug Visser,2318D5,Offline,2025,1,January,2025-01,7
2025-02-07,0.2,Visser,Doug Visser,2318D5,Offline,2025,2,February,2025-02,7
2025-03-07,44.8,Visser,Doug Visser,2318D5,Offline,2025,3,March,2025-03,7
